"MeltingPoint","Hydrocarbon"
63.78,14.27
63.45,14.8
63.58,12.28
63.08,17.09
63.4,15.1
64.42,12.92
63.27,15.56
63.1,15.38
63.34,15.15
63.5,13.98
63.83,14.9
63.63,15.91
63.27,14.52
63.3,15.63
63.83,13.83
63.5,13.66
63.36,13.98
63.86,14.47
63.34,14.65
63.92,14.73
63.88,15.18
63.36,14.49
63.36,14.56
63.51,15.03
63.51,15.4
63.84,14.68
64.27,13.33
63.5,14.41
63.56,14.19
63.39,15.21
63.78,14.75
63.92,14.41
63.92,14.04
63.56,13.68
63.43,15.31
64.21,14.32
64.24,13.64
64.12,14.77
63.92,14.3
63.53,14.62
63.5,14.1
63.3,15.47
63.86,13.73
63.93,13.65
63.43,15.02
64.4,14.01
63.61,14.92
63.03,15.47
63.68,13.75
63.13,14.87
63.41,15.28
63.6,14.43
63.13,13.96
63.69,14.57
63.05,15.49
62.85,15.13
63.31,14.23
63.66,14.44
63.6,14.57
