'day','alive'
0,1203646
1,1203646
2,1201913
3,1197098
4,1191020
5,1183419
6,1174502
7,1163026
8,1148693
9,1129836
10,1105164
11,1072209
12,1031620
13,984980
14,927011
15,868202
16,805489
17,744520
18,685514
19,628866
20,575420
21,522319
22,471756
23,424469
24,379537
25,337704
26,298596
27,259811
28,225101
29,194464
30,169569
31,149002
32,130911
33,115618
34,101271
35,88612
36,77390
37,67921
38,58830
39,52043
40,45544
41,40022
42,34902
43,30360
44,26214
45,22441
46,19390
47,16857
48,14562
49,12447
50,10782
51,9149
52,7905
53,6754
54,5740
55,4979
56,4181
57,3510
58,2955
59,2461
60,2067
61,1795
62,1560
63,1365
64,1182
65,1015
66,844
67,741
68,640
69,573
70,501
71,461
72,406
73,357
74,318
75,285
76,259
77,226
78,211
79,194
80,181
81,169
82,156
83,142
84,130
85,122
86,115
87,109
88,98
89,91
90,91
91,86
92,85
93,79
94,73
95,71
96,67
97,66
98,65
99,62
100,62
101,62
102,62
103,58
104,57
105,55
106,54
107,53
108,53
109,52
110,51
111,49
112,47
113,45
114,43
115,42
116,40
117,40
118,40
119,40
120,39
121,37
122,36
123,33
124,33
125,31
126,28
127,25
128,24
129,23
130,21
131,21
132,21
133,20
134,20
135,20
136,20
137,19
138,19
139,19
140,19
141,19
142,17
143,16
144,14
145,14
146,12
147,11
148,10
149,9
150,9
151,8
152,8
153,8
154,7
155,6
156,5
157,5
158,5
159,4
160,4
161,4
162,4
163,4
164,4
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,0
