'DAY','INTERVAL','DURATION'
1,78,4.400000095
1,74,3.900000095
1,68,4
1,76,4
1,80,3.5
1,84,4.099999905
1,50,2.299999952
1,93,4.699999809
1,55,1.700000048
1,76,4.900000095
1,58,1.700000048
1,74,4.599999905
1,75,3.400000095
2,80,4.300000191
2,56,1.700000048
2,80,3.900000095
2,69,3.700000048
2,57,3.099999905
2,90,4
2,42,1.799999952
2,91,4.099999905
2,51,1.799999952
2,79,3.200000048
2,53,1.899999976
2,82,4.599999905
2,51,2
3,76,4.5
3,82,3.900000095
3,84,4.300000191
3,53,2.299999952
3,86,3.799999952
3,51,1.899999976
3,85,4.599999905
3,45,1.799999952
3,88,4.699999809
3,51,1.799999952
3,80,4.599999905
3,49,1.899999976
3,82,3.5
4,75,4
4,73,3.700000048
4,67,3.700000048
4,68,4.300000191
4,86,3.599999905
4,72,3.799999952
4,75,3.799999952
4,75,3.799999952
4,66,2.5
4,84,4.5
4,70,4.099999905
4,79,3.700000048
4,60,3.799999952
4,86,3.400000095
5,71,4
5,67,2.299999952
5,81,4.400000095
5,76,4.099999905
5,83,4.300000191
5,76,3.299999952
5,55,2
5,73,4.300000191
5,56,2.900000095
5,83,4.599999905
5,57,1.899999976
5,71,3.599999905
5,72,3.700000048
5,77,3.700000048
6,55,1.799999952
6,75,4.599999905
6,73,3.5
6,70,4
6,83,3.700000048
6,50,1.700000048
6,95,4.599999905
6,51,1.700000048
6,82,4
6,54,1.799999952
6,83,4.400000095
6,51,1.899999976
6,80,4.599999905
6,78,2.900000095
7,81,3.5
7,53,2
7,89,4.300000191
7,44,1.799999952
7,78,4.099999905
7,61,1.799999952
7,73,4.699999809
7,75,4.199999809
7,73,3.900000095
7,76,4.300000191
7,55,1.799999952
7,86,4.5
7,48,2
8,77,4.199999809
8,73,4.400000095
8,70,4.099999905
8,88,4.099999905
8,75,4
8,83,4.099999905
8,61,2.700000048
8,78,4.599999905
8,61,1.899999976
8,81,4.5
8,51,2
8,80,4.800000191
8,79,4.099999905
