'oxalate','flame'
4.2,4.15
5.7,5.65
1.16,1.15
4.7,4.65
1.31,1.3
2.73,2.65
1.44,1.48
5.8,5.7
.83,.68
.27,.27
6.62,6.6
7.09,6.8
1.24,1.22
1.2,1.18
2.72,2.6
3.12,3.15
4.7,4.6
2.18,2.16
3.75,3.7
2.34,2.35
4.43,4.18
2.66,2.6
2.54,2.5
4.17,4.08
2.08,2.05
1.94,1.9
2.11,2.12
1.11,1.13
2.45,2.45
3.04,2.95
2.98,3
1.87,1.85
4.77,4.65
3.62,3.65
1.73,1.65
4.62,4.35
3.46,3.75
5.35,5.3
2.34,2.35
2.91,2.95
1.55,1.56
.87,.89
1.62,1.77
1.78,1.83
1.8,1.92
1.9,1.9
1.9,1.83
1.75,1.8
1.81,1.77
1.78,1.88
1.23,1.23
1.23,1.18
1.16,1.2
1.26,1.23
1.2,1.2
1.86,1.8
2.38,2.35
5.55,5.3
.68,.7
.8,.74
3.44,3.25
1.41,1.2
1.86,1.8
1.27,1.23
2.21,2.15
2.69,2.65
6.16,5.9
4.05,3.9
1.23,1.18
3.55,3.35
2.42,2.4
1.26,1.2
3.46,3.25
1.91,1.87
1.93,1.87
5.15,4.9
2.12,2
2.84,2.85
2.28,2.2
4.72,5.1
2.94,2.85
1.31,1.33
3.39,3.35
2.56,2.55
1.39,1.45
1.39,1.42
1.28,1.3
1.3,1.3
1.24,1.25
1.25,1.2
1.21,1.22
1.28,1.3
1.2,1.2
1.35,1.35
2.13,2.1
1.66,1.67
1.86,1.72
.86,.86
.89,.82
1.02,.95
.88,.89
1.9,1.83
2.08,2.07
1.84,1.78
1.22,1.2
1.26,1.28
1.02,1
1.23,1.2
5.16,5.2
1.52,1.5
2.36,2.25
3.04,3.06
4.68,4.6
3,2.96
3.03,3.05
1.23,1.22
1.07,1.06
.35,.36
