'Fe3 10.2','Fe3 1.2','Fe3 0.3','Fe2 10.2','Fe2 1.2','Fe2 0.3'
.71,2.2,2.25,2.2,4.04,2.71
1.66,2.93,3.93,2.69,4.16,5.43
2.01,3.08,5.08,3.54,4.42,6.38
2.16,3.49,5.82,3.75,4.93,6.38
2.42,4.11,5.84,3.83,5.49,8.32
2.42,4.95,6.89,4.08,5.77,9.04
2.56,5.16,8.5,4.27,5.86,9.56
2.6,5.54,8.56,4.53,6.28,10.01
3.31,5.68,9.44,5.32,6.97,10.08
3.64,6.25,10.52,6.18,7.06,10.62
3.74,7.25,13.46,6.22,7.78,13.8
3.74,7.9,13.57,6.33,9.23,15.99
4.39,8.85,14.76,6.97,9.34,17.9
4.5,11.96,16.41,6.97,9.91,18.25
5.07,15.54,16.96,7.52,13.46,19.32
5.26,15.89,17.56,8.36,18.4,19.87
8.15,18.3,22.82,11.65,23.89,21.6
8.24,18.59,29.13,12.45,26.39,22.25
