'females','type','lifespan','thorax','sleep'
8,0,35,.64,22
8,0,37,.68,9
8,0,49,.68,49
8,0,46,.72,1
8,0,63,.72,23
8,0,39,.76,83
8,0,46,.76,23
8,0,56,.76,15
8,0,63,.76,9
8,0,65,.76,81
8,0,56,.8,12
8,0,65,.8,15
8,0,70,.8,37
8,0,63,.84,24
8,0,65,.84,26
8,0,70,.84,17
8,0,77,.84,14
8,0,81,.84,14
8,0,86,.84,6
8,0,70,.88,25
8,0,70,.88,18
8,0,77,.92,26
8,0,77,.92,24
8,0,81,.92,29
8,0,77,.94,27
0,9,40,.64,18
0,9,37,.7,6
0,9,44,.72,19
0,9,47,.72,7
0,9,47,.72,16
0,9,47,.76,13
0,9,68,.78,35
0,9,47,.8,2
0,9,54,.84,35
0,9,61,.84,6
0,9,71,.84,15
0,9,75,.84,14
0,9,89,.84,18
0,9,58,.88,50
0,9,59,.88,25
0,9,62,.88,10
0,9,79,.88,33
0,9,96,.88,43
0,9,58,.92,35
0,9,62,.92,17
0,9,70,.92,27
0,9,72,.92,22
0,9,75,.92,16
0,9,96,.92,20
0,9,75,.94,37
1,0,46,.64,23
1,0,42,.68,4
1,0,65,.72,20
1,0,46,.76,42
1,0,58,.76,9
1,0,42,.8,32
1,0,48,.8,66
1,0,58,.8,28
1,0,50,.82,10
1,0,80,.82,4
1,0,63,.84,12
1,0,65,.84,17
1,0,70,.84,12
1,0,70,.84,23
1,0,72,.84,40
1,0,97,.84,18
1,0,46,.88,10
1,0,56,.88,38
1,0,70,.88,7
1,0,70,.88,23
1,0,72,.88,36
1,0,76,.88,9
1,0,90,.88,21
1,0,76,.92,62
1,0,92,.92,36
1,1,21,.68,23
1,1,40,.68,62
1,1,44,.72,28
1,1,54,.76,18
1,1,36,.78,10
1,1,40,.8,28
1,1,56,.8,22
1,1,60,.8,29
1,1,48,.84,15
1,1,53,.84,73
1,1,60,.84,10
1,1,60,.84,5
1,1,65,.84,13
1,1,68,.84,27
1,1,60,.88,20
1,1,81,.88,21
1,1,81,.88,12
1,1,48,.9,49
1,1,48,.9,17
1,1,56,.9,22
1,1,68,.9,71
1,1,75,.9,17
1,1,81,.9,10
1,1,48,.92,24
1,1,68,.92,18
8,1,16,.64,34
8,1,19,.64,6
8,1,19,.68,4
8,1,32,.72,22
8,1,33,.72,28
8,1,33,.74,31
8,1,30,.76,16
8,1,42,.76,27
8,1,42,.76,8
8,1,33,.78,32
8,1,26,.8,20
8,1,30,.8,35
8,1,40,.82,12
8,1,54,.82,14
8,1,34,.84,17
8,1,34,.84,29
8,1,47,.84,31
8,1,47,.84,6
8,1,42,.88,30
8,1,47,.88,27
8,1,54,.88,40
8,1,54,.88,19
8,1,56,.88,8
8,1,60,.88,8
8,1,44,.92,15
