'Dose','No Serum','PEG Serum','Untreated Serum'
0,1814.4,372.7,1745.3
0,3043.2,350.1,2470
0,3857.1,426,1700
.06,2447.9,628.3,1919.2
.06,3320.9,655,1605.1
.06,3387.6,700,2796
.12,4887.8,1701.8,1929.7
.12,5171.2,2589.4,1537.3
.12,3370.7,1117.1,1692.7
.25,10255.6,4114.6,1149.1
.25,9431.8,2761.5,743.4
.25,10961.2,1975.8,948.5
.5,14538.8,6074.3,4471.9
.5,14214.3,12273.9,2772.1
.5,16934.5,14240.9,5782.3
1,19719.8,17889.9,11588.7
1,20801.4,11685.7,8249.5
1,32740.7,11342.4,18481.5
2,16453.8,11843.5,10433.5
2,28793.8,18320.7,8181
2,19148.5,23580.6,11104
4,17967,12380,10020
4,18768.6,20039,8448.5
4,19946.9,15135.6,10482.8
