"Weight Class","Red Boxer ID","Blue Boxer ID","Round of Competition","Winner","Method of Win","Points Scored by Red","Points Scored by Blue"
"48kg",4804,4805,"Last 32","Red","Points",20,8
"48kg",4806,4807,"Last 32","Red","Points",48,25
"48kg",4808,4809,"Last 32","Blue","Referee Stopped Contest - Outscored",,
"48kg",4810,4811,"Last 32","Red","Points",22,7
"48kg",4812,4813,"Last 32","Blue","Points",8,23
"48kg",4814,4815,"Last 32","Blue","Points",9,22
"48kg",4816,4817,"Last 32","Red","Points",26,21
"48kg",4818,4819,"Last 32","Red","Points",21,7
"48kg",4820,4821,"Last 32","Blue","Points",20,27
"48kg",4822,4823,"Last 32","Red","Referee Stopped Contest - Outscored",,
"48kg",4824,4825,"Last 32","Blue","Points",12,17
"48kg",4826,4827,"Last 32","Red","Referee Stopped Contest - Outscored",,
"48kg",4828,4829,"Last 32","Red","Points",26,14
"48kg",4801,4802,"Last 16","Blue","Points",20,29
"48kg",4803,4804,"Last 16","Blue","Points",16,41
"48kg",4806,4809,"Last 16","Blue","Points",35,49
"48kg",4810,4813,"Last 16","Red","Points",23,20
"48kg",4815,4816,"Last 16","Red","Points",31,8
"48kg",4818,4821,"Last 16","Blue","Points",11,24
"48kg",4822,4825,"Last 16","Red","Points",42,25
"48kg",4826,4828,"Last 16","Red","Points",23,14
"48kg",4802,4804,"Quarterfinals","Blue","Points",11,18
"48kg",4809,4810,"Quarterfinals","Blue","Points",24,33
"48kg",4815,4821,"Quarterfinals","Red","Points",20,12
"48kg",4822,4826,"Quarterfinals","Blue","Points",11,30
"48kg",4804,4810,"Semifinals","Blue","Points",26,20
"48kg",4815,4826,"Semifinals","Blue","Points",17,29
"48kg",4810,4826,"Final","Blue","Points",16,21
"51kg",5105,5106,"Last 32","Red","Points",22,12
"51kg",5107,5108,"Last 32","Red","Points",46,23
"51kg",5109,5110,"Last 32","Red","Points",42,23
"51kg",5111,5112,"Last 32","Blue","Points",15,26
"51kg",5113,5114,"Last 32","Blue","Points",19,25
"51kg",5115,5116,"Last 32","Red","Points",25,20
"51kg",5117,5118,"Last 32","Red","Points",24,14
"51kg",5119,5120,"Last 32","Blue","Walk Over",,
"51kg",5121,5122,"Last 32","Blue","Points",16,37
"51kg",5123,5124,"Last 32","Red","Points",26,18
"51kg",5125,5126,"Last 32","Red","Points",32,18
"51kg",5127,5128,"Last 32","Blue","Points",26,36
"51kg",5101,5102,"Last 16","Red","Points",25,15
"51kg",5103,5104,"Last 16","Red","Points",39,19
"51kg",5105,5107,"Last 16","Blue","Points",16,21
"51kg",5109,5112,"Last 16","Blue","Points",20,29
"51kg",5114,5115,"Last 16","Red","Points",33,20
"51kg",5117,5120,"Last 16","Blue","Points",21,27
"51kg",5122,5123,"Last 16","Red","Points",36,17
"51kg",5125,5128,"Last 16","Blue","Points",22,45
