"Time","Magnitude"
7876.63614,9.2921
7876.71071,9.6402
7876.72502,9.4863
7876.79961,9.233
7876.81392,9.2473
7900.27426,9.2846
7900.34881,9.6727
8029.40615,9.191
8029.42049,9.1803
8029.49506,9.6211
8029.50937,9.751
8048.34792,9.2594
8077.46538,9.2707
8077.47969,9.2409
8203.59153,9.2727
8203.66608,9.3157
8203.68039,9.3647
8203.84386,9.2007
8203.85822,9.2287
8203.93277,9.6758
8203.94711,9.6934
8204.02166,9.2061
8204.03601,9.227
8204.11056,9.583
8214.68835,9.4054
8214.70265,9.5546
8281.52004,9.3587
8281.59461,9.6757
8281.60893,9.4927
8281.68351,9.2113
8281.69783,9.2521
8281.77241,9.7293
8281.95019,9.5944
8281.96452,9.8243
8282.03909,9.3003
8288.70596,9.7294
8288.72031,9.6296
8288.79488,9.2096
8288.8092,9.2206
8289.06157,9.3517
8289.07589,9.4219
8289.16478,9.3227
8381.60566,9.7
8381.87236,9.4155
8382.05012,9.5881
8382.06442,9.4499
8382.31673,9.2467
8382.33105,9.1985
8382.41995,9.6808
8382.49454,9.3032
8382.50881,9.2605
8382.76115,9.2288
8382.93892,9.2172
8382.95327,9.2332
8455.61056,9.6872
8455.62489,9.4403
8470.18556,9.2619
8470.19985,9.328
8470.27444,9.7964
8470.28874,9.5151
8470.36328,9.2492
8593.94705,9.7317
8594.0216,9.2624
8594.03597,9.2527
8619.96897,9.2954
8620.05786,9.4555
8620.07223,9.4069
8620.14679,9.2755
8620.16114,9.3167
8639.43214,9.3244
8639.44651,9.2851
8768.93233,9.4352
8768.94665,9.637
8792.58145,9.5958
8792.65598,9.3748
8959.92486,9.6029
8959.93918,9.4399
8960.01377,9.2461
8960.02807,9.2897
9011.4988,9.5112
9011.51311,9.3089
9011.93568,9.2661
9019.03545,9.4287
9019.04979,9.3314
9019.3108,9.2009
9019.32512,9.2502
9019.3997,9.7598
9019.41401,9.7103
