'TYPE','PERSONS','CHILDREN','INCOME','REGION','EDUCATION'
1,2,0,43450,1,39
1,2,0,79000,1,40
1,2,0,51306,1,39
1,4,2,24850,1,41
1,4,2,65145,1,43
3,3,2,23015,1,40
3,2,1,26000,1,40
1,2,0,13112,1,39
3,3,2,5436,1,39
1,2,0,103524,1,45
3,4,3,4185,1,42
1,3,0,26914,1,43
1,4,2,40507,1,40
1,5,3,26001,1,39
1,2,0,17789,1,39
3,2,1,16010,1,41
1,4,2,37610,1,43
1,2,0,22392,1,39
1,3,1,17718,1,40
1,2,0,46100,1,40
3,3,2,3933,1,38
1,4,0,11108,1,39
1,5,0,66370,1,43
1,3,0,43025,1,39
1,2,0,95817,1,43
2,4,3,30060,1,43
1,4,2,72938,1,44
3,3,2,25100,1,40
1,3,0,48472,1,39
1,2,0,81906,1,39
1,2,0,70000,1,38
1,2,0,80846,1,40
3,3,1,60085,1,44
1,2,0,37000,1,39
1,2,0,51112,1,40
1,4,2,19930,1,33
3,3,1,34235,1,43
1,3,0,92182,1,43
3,2,0,18914,1,33
1,2,0,27915,1,40
1,3,1,35140,1,39
1,2,0,82306,1,43
1,3,1,60325,1,43
3,2,0,16495,1,40
1,5,3,31932,1,39
3,3,1,32315,1,39
1,2,0,59337,1,39
1,3,1,26325,1,35
1,2,0,36610,1,43
1,2,0,12000,1,39
3,2,0,10715,1,42
1,2,0,47380,1,41
1,4,2,60867,1,43
1,2,0,20889,1,35
1,3,0,79382,1,43
1,2,0,52484,1,39
1,3,1,32221,1,39
3,3,2,17000,1,43
1,4,0,86450,1,43
1,2,0,35055,1,43
1,2,0,31140,1,40
2,7,0,29612,1,39
3,4,3,7592,1,36
1,4,2,46717,1,39
1,4,1,65700,1,39
1,5,3,37406,1,41
1,2,0,30460,1,43
1,2,0,17569,1,39
1,2,0,90200,1,43
1,2,0,54177,1,44
1,2,0,28690,1,34
1,3,1,44160,1,41
1,3,0,43865,1,40
1,2,0,33454,1,35
3,2,0,25541,1,39
1,2,0,29466,1,39
1,3,0,31000,1,34
1,2,0,26720,1,37
3,3,2,22560,1,40
1,2,0,81656,1,40
3,2,1,4150,1,39
1,4,0,50106,1,39
1,4,2,94250,1,43
2,2,1,-1946,1,39
1,2,0,28500,1,39
1,3,1,28606,1,39
1,3,0,41988,1,39
1,2,0,21725,1,40
1,2,0,44882,1,39
3,2,1,8123,1,35
3,3,2,5436,1,39
1,2,0,45235,1,40
1,3,0,40281,1,39
1,4,2,40609,1,40
1,2,0,18348,1,40
1,4,1,98715,1,43
1,5,3,12484,1,39
1,2,0,70060,1,39
1,5,1,17337,1,40
1,5,3,41300,1,39
1,2,0,17330,1,39
1,4,0,58775,1,39
3,2,1,9687,1,39
3,3,2,9736,1,39
2,2,1,8700,1,39
3,4,2,11419,1,39
1,3,1,50362,1,43
1,4,1,45204,1,42
1,4,2,24004,1,39
3,2,0,14546,1,39
1,3,1,33700,1,39
1,4,2,43905,1,43
1,2,0,46530,1,43
1,2,0,58300,1,44
1,4,2,53027,1,39
1,4,2,34503,1,43
1,2,0,38200,1,41
1,3,1,45040,1,39
3,2,1,15088,1,39
3,3,1,17109,1,38
2,2,1,17300,1,39
1,2,0,35146,1,39
1,3,1,19620,1,41
1,2,0,22772,1,39
1,2,0,7879,1,40
1,2,0,11839,1,34
3,4,3,0,1,40
1,3,0,198925,1,40
1,4,2,55150,1,43
1,2,0,37392,1,43
1,2,0,26922,1,46
1,3,0,36849,1,36
1,2,0,20061,1,39
1,2,0,25416,1,43
1,2,0,80534,1,44
1,2,0,161810,1,43
1,3,0,7294,1,35
1,5,0,60396,1,34
1,4,2,36200,1,39
1,3,0,31652,1,34
1,2,0,43324,1,43
2,2,1,27628,1,41
1,2,0,34000,1,44
3,2,1,12413,1,39
1,6,0,30290,1,32
3,3,2,0,1,37
1,3,0,22420,1,39
1,2,0,55300,1,40
1,4,2,32000,1,40
1,5,3,22410,1,39
1,2,0,14000,1,36
3,2,1,5330,1,39
1,5,3,9600,1,36
2,2,1,46442,1,46
1,2,0,37300,1,42
1,2,0,80510,1,39
1,3,1,40218,1,37
1,2,0,11576,1,39
1,2,0,36060,1,41
1,2,0,48900,1,45
3,2,1,27340,1,40
3,2,1,19133,1,40
1,7,5,46100,1,39
1,3,1,49660,1,41
1,6,4,36193,1,41
1,2,0,24100,1,39
1,2,0,9800,1,39
1,2,0,51672,1,39
1,4,0,96150,1,44
