"discharges","beds"
57,10
35,16
23,20
120,24
92,25
98,26
118,30
66,34
95,38
87,40
141,43
260,50
229,50
247,57
91,62
240,64
255,67
233,69
315,70
200,73
266,81
120,91
228,96
362,100
414,100
518,103
389,110
273,111
440,116
431,120
534,122
535,127
426,130
505,137
322,142
475,145
621,150
486,154
637,160
690,163
665,170
479,180
652,184
625,192
695,200
703,206
918,214
558,224
955,228
684,233
610,241
1084,247
995,252
974,257
811,263
773,268
956,273
852,276
456,284
233,289
539,297
715,303
935,307
1226,310
876,322
946,327
1425,388
1166,347
1098,352
1029,359
1766,365
1156,370
896,378
1373,390
2190,400
1719,408
1040,418
1632,437
1705,450
1665,467
1258,474
1390,490
1657,498
1527,506
1232,523
2034,534
1376,541
986,550
1152,558
1509,577
999,591
1218,606
1606,635
1707,670
2058,719
1239,816
2135,838
1678,918
2268,986
64,14
56,18
90,20
36,25
64,25
89,27
79,30
100,35
78,38
121,40
174,47
186,50
194,50
297,59
182,62
225,64
321,67
253,69
233,70
297,74
270,86
243,95
308,98
383,100
265,100
309,104
439,110
498,111
134,118
373,120
416,123
323,128
381,134
592,138
384,143
337,145
376,151
467,155
590,160
360,165
592,175
531,180
635,185
504,193
697,204
814,207
726,214
1186,225
1175,229
669,235
601,242
1028,247
956,254
1076,260
1009,264
884,269
1201,275
754,279
1007,285
824,291
778,300
1036,304
1031,308
912,312
1232,324
471,330
885,339
906,347
876,354
889,361
1225,366
787,373
1009,380
1389,391
1219,400
989,411
1315,419
1346,437
1584,451
1012,469
1835,478
1126,492
1785,500
2031,509
1350,524
1418,536
1093,543
1287,550
2116,562
1415,579
1648,592
1463,613
1620,650
1504,684
1283,760
1706,817
1624,857
1394,936
41,15
42,19
22,20
49,25
103,25
85,28
52,32
75,35
153,39
213,41
81,48
296,50
115,56
308,61
242,63
239,65
215,67
209,70
258,70
297,80
310,88
243,95
346,99
318,100
227,102
311,106
368,110
95,111
345,119
414,120
231,125
557,128
411,135
244,139
453,144
283,145
543,151
778,156
402,160
662,169
446,178
573,181
1011,187
744,195
670,204
726,207
590,224
410,227
439,229
629,235
858,244
928,248
1160,255
788,261
609,265
887,269
1063,275
861,279
941,286
764,295
557,300
1153,307
985,309
1016,313
1049,325
872,330
1133,340
1219,348
915,357
966,365
1453,367
1137,374
1150,385
926,393
1095,400
808,411
1089,422
1370,438
1948,461
1322,470
1534,479
1355,493
1744,500
2051,510
1805,524
1522,538
1780,543
1645,551
1828,566
1583,583
2154,600
2240,625
2150,652
1893,712
2844,774
2766,829
2818,860
1894,937
76,15
48,19
170,24
14,25
100,26
109,29
125,32
108,37
124,40
210,43
173,49
87,50
220,57
58,61
222,63
231,65
259,68
216,70
244,70
301,80
326,90
377,96
444,100
373,100
371,102
327,108
298,110
594,113
360,119
467,121
427,126
707,129
362,135
355,141
828,145
470,150
538,152
487,159
611,161
689,170
84,180
481,184
713,188
586,196
622,205
670,210
587,224
732,227
931,231
925,235
490,244
810,252
705,256
795,261
1106,268
951,270
632,275
767,282
1097,287
842,297
958,302
855,307
1042,310
944,318
1210,327
1400,332
1097,340
1173,350
976,358
956,365
1413,368
1231,374
1272,386
1060,394
1634,401
1369,417
1347,425
1105,445
1617,463
1239,472
1149,480
1301,496
1669,505
834,517
1420,530
1386,540
1547,549
1478,556
1789,573
1326,584
1785,606
1684,631
1376,658
2089,712
2171,785
1715,830
2700,904
1765,957
