'seconds','count'
116,0
112,0
160,0
51.5,0
102,1
77.4,0
14.5,0
1070,3
99.1,1
49.6,0
50.8,0
77.2,0
114,0
165,0
106,0
52.9,0
104,2
51,2
51.4,0
316,2
687,4
101,0
99.7,0
49.2,0
49.2,1
104,0
53.5,0
124,0
168,0
109,0
107,1
103,0
52.1,0
104,1
656,5
111,1
417,2
149,1
56.5,1
12.5,0
101,1
107,0
113,1
80.8,0
110,0
109,0
105,0
104,1
107,0
53.3,0
51.1,0
868,1
105,0
105,0
103,2
104,0
105,0
52.1,0
52.3,0
1110,0
30.4,0
116,0
44.9,0
46.1,0
97.9,0
102,1
162,0
102,0
102,0
98.7,0
98.7,2
103,0
51.6,1
53.1,0
1290,3
56.8,0
89.2,1
52.8,1
72.2,0
111,0
57.7,0
32.8,0
99.6,2
50.9,1
51.2,0
1350,6
69.1,0
67.7,0
38.2,1
37.9,0
31.3,0
121,0
55.8,0
460,7
128,0
38.7,1
41.8,0
81.7,0
88.3,0
37.4,0
