'K39/41','K41/40'
13.8645,576.369
13.8689,578.277
13.8724,576.017
13.8695,578.012
13.8593,574.708
13.8665,574.881
13.8659,575.597
13.8742,573.63
13.8566,578.508
13.8622,575.244
13.8703,576.069
13.8555,576.796
13.8696,575.567
13.8472,575.637
13.8534,580.394
13.8604,576.836
13.8555,575.971
13.8685,576.772
13.8672,576.236
13.8439,576.403
13.8694,576.501
13.8598,575.291
13.8646,576.179
13.8599,574.95
13.8641,576.478
13.8702,575.129
13.8605,577.614
13.8673,576.992
13.8606,577.084
13.8619,574.506
13.8597,578.335
13.8622,576.749
13.8641,576.317
13.8604,576.767
13.8588,576.669
13.8597,575.665
13.8591,576.571
13.8547,575.869
13.8617,575.815
13.8472,576.617
13.8597,577.793
13.861,576.109
13.863,575.885
13.8663,577.77
13.8615,576.144
13.8566,576.651
13.8597,577.697
13.8469,576.82
13.8503,575.974
13.8604,576.299
13.8582,576.672
13.8553,577.255
13.8634,575.903
13.8645,576.169
13.8642,574.664
13.8658,574.773
13.8713,575.39
13.8613,576.405
13.8547,577.391
13.8593,575.108
13.8706,574.306
13.8519,577.057
13.8522,576.663
13.8601,577.095
13.863,577.286
13.8489,578.358
13.866,576.957
13.8581,575.51
13.8609,575.371
13.8655,576.434
13.8644,576.509
13.857,575.851
13.8612,575.211
13.8665,574.3
13.8566,575.644
13.8598,576.63
13.8648,575.846
13.864,574.462
