'Month','Month_Number','Day_of_year','Draft_No'
'Jan',1,1,305
'Jan',1,2,159
'Jan',1,3,251
'Jan',1,4,215
'Jan',1,5,101
'Jan',1,6,224
'Jan',1,7,306
'Jan',1,8,199
'Jan',1,9,194
'Jan',1,10,325
'Jan',1,11,329
'Jan',1,12,221
'Jan',1,13,318
'Jan',1,14,238
'Jan',1,15,17
'Jan',1,16,121
'Jan',1,17,235
'Jan',1,18,140
'Jan',1,19,58
'Jan',1,20,280
'Jan',1,21,186
'Jan',1,22,337
'Jan',1,23,118
'Jan',1,24,59
'Jan',1,25,52
'Jan',1,26,92
'Jan',1,27,355
'Jan',1,28,77
'Jan',1,29,349
'Jan',1,30,164
'Jan',1,31,221
'Feb',2,32,86
'Feb',2,33,144
'Feb',2,34,297
'Feb',2,35,210
'Feb',2,36,214
'Feb',2,37,347
'Feb',2,38,91
'Feb',2,39,181
'Feb',2,40,338
'Feb',2,41,216
'Feb',2,42,150
'Feb',2,43,68
'Feb',2,44,152
'Feb',2,45,4
'Feb',2,46,89
'Feb',2,47,212
'Feb',2,48,189
'Feb',2,49,292
'Feb',2,50,25
'Feb',2,51,302
'Feb',2,52,363
'Feb',2,53,290
'Feb',2,54,57
'Feb',2,55,236
'Feb',2,56,179
'Feb',2,57,365
'Feb',2,58,205
'Feb',2,59,299
'Feb',2,60,285
'Mar',3,61,108
'Mar',3,62,29
'Mar',3,63,267
'Mar',3,64,275
'Mar',3,65,293
'Mar',3,66,139
'Mar',3,67,122
'Mar',3,68,213
'Mar',3,69,317
'Mar',3,70,323
'Mar',3,71,136
'Mar',3,72,300
'Mar',3,73,259
'Mar',3,74,354
'Mar',3,75,169
'Mar',3,76,166
'Mar',3,77,33
'Mar',3,78,332
'Mar',3,79,200
'Mar',3,80,239
'Mar',3,81,334
'Mar',3,82,265
'Mar',3,83,256
'Mar',3,84,258
'Mar',3,85,343
'Mar',3,86,170
'Mar',3,87,268
'Mar',3,88,223
'Mar',3,89,362
'Mar',3,90,217
'Mar',3,91,30
'Apr',4,92,32
'Apr',4,93,271
'Apr',4,94,83
'Apr',4,95,81
'Apr',4,96,269
'Apr',4,97,253
'Apr',4,98,147
'Apr',4,99,312
'Apr',4,100,219
'Apr',4,101,218
'Apr',4,102,14
'Apr',4,103,346
'Apr',4,104,124
'Apr',4,105,231
'Apr',4,106,273
'Apr',4,107,148
'Apr',4,108,260
'Apr',4,109,90
'Apr',4,110,336
'Apr',4,111,345
'Apr',4,112,62
'Apr',4,113,316
'Apr',4,114,252
'Apr',4,115,2
'Apr',4,116,351
'Apr',4,117,340
'Apr',4,118,74
'Apr',4,119,262
'Apr',4,120,191
'Apr',4,121,208
'May',5,122,330
'May',5,123,298
'May',5,124,40
'May',5,125,276
'May',5,126,364
'May',5,127,155
'May',5,128,35
'May',5,129,321
'May',5,130,197
'May',5,131,65
'May',5,132,37
'May',5,133,133
'May',5,134,295
'May',5,135,178
'May',5,136,130
'May',5,137,55
'May',5,138,112
'May',5,139,278
'May',5,140,75
'May',5,141,183
'May',5,142,250
'May',5,143,326
'May',5,144,319
'May',5,145,31
'May',5,146,361
'May',5,147,357
'May',5,148,296
'May',5,149,308
'May',5,150,226
'May',5,151,103
'May',5,152,313
'Jun',6,153,249
'Jun',6,154,228
'Jun',6,155,301
'Jun',6,156,20
'Jun',6,157,28
'Jun',6,158,110
'Jun',6,159,85
'Jun',6,160,366
'Jun',6,161,335
'Jun',6,162,206
'Jun',6,163,134
'Jun',6,164,272
'Jun',6,165,69
'Jun',6,166,356
'Jun',6,167,180
'Jun',6,168,274
'Jun',6,169,73
'Jun',6,170,341
'Jun',6,171,104
'Jun',6,172,360
'Jun',6,173,60
'Jun',6,174,247
'Jun',6,175,109
'Jun',6,176,358
'Jun',6,177,137
'Jun',6,178,22
'Jun',6,179,64
'Jun',6,180,222
'Jun',6,181,353
'Jun',6,182,209
'Jul',7,183,93
'Jul',7,184,350
'Jul',7,185,115
'Jul',7,186,279
'Jul',7,187,188
'Jul',7,188,327
'Jul',7,189,50
'Jul',7,190,13
'Jul',7,191,277
'Jul',7,192,284
'Jul',7,193,248
'Jul',7,194,15
'Jul',7,195,42
'Jul',7,196,331
'Jul',7,197,322
'Jul',7,198,120
'Jul',7,199,98
'Jul',7,200,190
'Jul',7,201,227
'Jul',7,202,187
'Jul',7,203,27
'Jul',7,204,153
'Jul',7,205,172
'Jul',7,206,23
'Jul',7,207,67
'Jul',7,208,303
'Jul',7,209,289
'Jul',7,210,88
'Jul',7,211,270
'Jul',7,212,287
'Jul',7,213,193
'Aug',8,214,111
'Aug',8,215,45
'Aug',8,216,261
'Aug',8,217,145
'Aug',8,218,54
'Aug',8,219,114
'Aug',8,220,168
'Aug',8,221,48
'Aug',8,222,106
'Aug',8,223,21
'Aug',8,224,324
'Aug',8,225,142
'Aug',8,226,307
'Aug',8,227,198
'Aug',8,228,102
'Aug',8,229,44
'Aug',8,230,154
'Aug',8,231,141
'Aug',8,232,311
'Aug',8,233,344
'Aug',8,234,291
'Aug',8,235,339
'Aug',8,236,116
'Aug',8,237,36
'Aug',8,238,286
'Aug',8,239,245
'Aug',8,240,352
'Aug',8,241,167
'Aug',8,242,61
'Aug',8,243,333
'Aug',8,244,11
'Sep',9,245,225
'Sep',9,246,161
'Sep',9,247,49
'Sep',9,248,232
'Sep',9,249,82
'Sep',9,250,6
'Sep',9,251,8
'Sep',9,252,184
'Sep',9,253,263
'Sep',9,254,71
'Sep',9,255,158
'Sep',9,256,242
'Sep',9,257,175
'Sep',9,258,1
'Sep',9,259,113
'Sep',9,260,207
'Sep',9,261,255
'Sep',9,262,246
'Sep',9,263,177
'Sep',9,264,63
'Sep',9,265,204
'Sep',9,266,160
'Sep',9,267,119
'Sep',9,268,195
'Sep',9,269,149
'Sep',9,270,18
'Sep',9,271,233
'Sep',9,272,257
'Sep',9,273,151
'Sep',9,274,315
'Oct',10,275,359
'Oct',10,276,125
'Oct',10,277,244
'Oct',10,278,202
'Oct',10,279,24
'Oct',10,280,87
'Oct',10,281,234
'Oct',10,282,283
'Oct',10,283,342
'Oct',10,284,220
'Oct',10,285,237
'Oct',10,286,72
'Oct',10,287,138
'Oct',10,288,294
'Oct',10,289,171
'Oct',10,290,254
'Oct',10,291,288
'Oct',10,292,5
'Oct',10,293,241
'Oct',10,294,192
'Oct',10,295,243
'Oct',10,296,117
'Oct',10,297,201
'Oct',10,298,196
'Oct',10,299,176
'Oct',10,300,7
'Oct',10,301,264
'Oct',10,302,94
'Oct',10,303,229
'Oct',10,304,38
'Oct',10,305,79
'Nov',11,306,19
'Nov',11,307,34
'Nov',11,308,348
'Nov',11,309,266
'Nov',11,310,310
'Nov',11,311,76
'Nov',11,312,51
'Nov',11,313,97
'Nov',11,314,80
'Nov',11,315,282
'Nov',11,316,46
'Nov',11,317,66
'Nov',11,318,126
'Nov',11,319,127
'Nov',11,320,131
'Nov',11,321,107
'Nov',11,322,143
'Nov',11,323,146
'Nov',11,324,203
'Nov',11,325,185
'Nov',11,326,156
'Nov',11,327,9
'Nov',11,328,182
'Nov',11,329,230
'Nov',11,330,132
'Nov',11,331,309
'Nov',11,332,47
'Nov',11,333,281
'Nov',11,334,99
'Nov',11,335,174
'Dec',12,336,129
'Dec',12,337,328
'Dec',12,338,157
'Dec',12,339,165
'Dec',12,340,56
'Dec',12,341,10
'Dec',12,342,12
'Dec',12,343,105
'Dec',12,344,43
'Dec',12,345,41
'Dec',12,346,39
'Dec',12,347,314
'Dec',12,348,163
'Dec',12,349,26
'Dec',12,350,320
'Dec',12,351,96
'Dec',12,352,304
'Dec',12,353,128
'Dec',12,354,240
'Dec',12,355,135
'Dec',12,356,70
'Dec',12,357,53
'Dec',12,358,162
'Dec',12,359,95
'Dec',12,360,84
'Dec',12,361,173
'Dec',12,362,78
'Dec',12,363,123
