Target1 Control1 Target2 Control2
1.6 1.0 1.1 2.2
28.1 27.0 3.5 5.2
7.8 .3 2.6 0.0
4.0 6.0 2.6 2.0
9.6 12.6 9.8 4.9
0.2 0.5 5.6 8.5
18.7 8.7 .1 3.5
16.5 21.5 0.0 1.1
4.6 13.9 17.7 11.0
9.3 6.7 19.4 19.8
3.5 4.5 8.9 5.3
0.1 0.7 10.6 8.9
11.5 8.7 10.2 4.5
0.0 0.0 16.0 13.0
9.3 10.7 9.7 21.1
5.5 4.7 21.4 15.9
70.2 29.1 6.1 19.5
0.7 1.9 24.3 16.3
38.6 34.7 20.9 6.3
11.3 10.2 60.2 47.0
3.3 2.7 15.2 10.8
8.9 2.8 2.7 4.8
11.1 4.3 0.3 0.0
64.3 38.7 12.2 5.7
16.6 11.1 2.2 5.1
7.3 6.5 23.3 30.6
3.2 3.0 9.9 3.7
